TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2021-01-04,PF/BT,220101,TOLMEZZO,FVG,70-79,2,0,0,2,0,0,0,2,0,2,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,220101,TOLMEZZO,FVG,80-89,1,0,0,1,0,0,0,1,0,1,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,20-29,14,29,0,34,3,0,6,43,0,43,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,30-39,19,43,0,58,3,0,1,62,0,62,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,40-49,23,75,0,92,6,0,0,98,0,98,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,50-59,25,77,0,92,10,0,0,102,0,102,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,60-69,32,40,0,68,4,0,0,72,0,72,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,70-79,4,1,0,4,0,1,0,5,0,5,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,80-89,0,1,0,0,0,1,0,1,0,1,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,90+,1,0,0,0,0,1,0,1,0,1,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,20-29,8,16,0,18,0,0,6,24,0,24,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,30-39,17,34,0,46,3,0,2,51,0,51,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,40-49,16,49,0,55,10,0,0,65,0,65,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,50-59,14,41,0,50,5,0,0,55,0,55,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,60-69,20,16,0,34,2,0,0,36,0,36,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,70-79,6,3,0,9,0,0,0,9,0,9,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,201010,CATTINARA,FVG,20-29,40,83,0,72,6,0,45,123,0,123,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,201010,CATTINARA,FVG,30-39,42,66,0,94,7,0,7,108,0,108,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,201010,CATTINARA,FVG,40-49,39,87,0,105,21,0,0,126,0,126,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,201010,CATTINARA,FVG,50-59,44,121,0,136,29,0,0,165,0,165,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,201010,CATTINARA,FVG,60-69,27,36,0,52,11,0,0,63,0,63,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,201010,CATTINARA,FVG,70-79,18,6,0,23,1,0,0,24,0,24,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,201010,CATTINARA,FVG,80-89,2,0,0,2,0,0,0,2,0,2,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,220101,TOLMEZZO,FVG,20-29,15,19,0,31,1,0,2,34,0,34,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,220101,TOLMEZZO,FVG,30-39,9,33,0,40,1,0,1,42,0,42,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,220101,TOLMEZZO,FVG,40-49,15,46,0,59,2,0,0,61,0,61,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,220101,TOLMEZZO,FVG,50-59,9,58,0,62,5,0,0,67,0,67,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,220101,TOLMEZZO,FVG,60-69,24,14,0,37,1,0,0,38,0,38,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,220101,TOLMEZZO,FVG,70-79,7,1,0,7,1,0,0,8,0,8,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,220101,TOLMEZZO,FVG,80-89,2,0,0,1,1,0,0,2,0,2,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,9A0041,CASA SERENA PORDENONE,FVG,40-49,1,0,0,0,0,1,0,1,0,1,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,9A0041,CASA SERENA PORDENONE,FVG,50-59,3,1,0,0,0,4,0,4,0,4,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,9A0041,CASA SERENA PORDENONE,FVG,60-69,3,4,0,0,0,7,0,7,0,7,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,9A0041,CASA SERENA PORDENONE,FVG,70-79,10,15,0,0,0,25,0,25,0,25,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,9A0041,CASA SERENA PORDENONE,FVG,80-89,24,37,0,0,0,61,0,61,0,61,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,9A0041,CASA SERENA PORDENONE,FVG,90+,10,58,0,0,0,68,0,68,0,68,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,9C0040,FONDAZ. C. DI RIP. CORDENONS,FVG,60-69,1,0,0,0,0,1,0,1,0,1,Friuli Venezia Giulia,ITH4
2021-01-05,PF/BT,9C0040,FONDAZ. C. DI RIP. CORDENONS,FVG,70-79,1,4,0,0,0,5,0,5,0,5,Friuli Venezia Giulia,ITH4
